playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8474090,singleSeason,20192020,,,,688.3,5,3,71,45,62,90,0,0,3.12,557.08,71,100.0,0,0,1,2,128.1,41,-12,8,955,,,,,,,,,,,,,,,,,,,,
8475287,singleSeason,20192020,,,,759.87,12,12,22,92,48,27,4,8,110.38,612.58,22,54.11,2,0,0,0,36.9,15,1,24,973,,,,,,,,,,,,,,,,,,,,
8475413,singleSeason,20192020,,,,317.68,3,3,8,29,29,25,0,0,35.62,279.77,8,43.75,1,0,0,0,2.3,12,-3,6,474,,,,,,,,,,,,,,,,,,,,
8475726,singleSeason,20192020,,,,1145.7,20,24,20,203,68,48,5,10,147.3,936.35,20,28.57,4,1,0,0,62.05,16,-1,44,1550,,,,,,,,,,,,,,,,,,,,
8476234,singleSeason,20192020,,,,339.98,,,,,6,,,,,,,,,,,,,,,,,3,0,0,1,1,168,23,5,140,6,157,29,,0.875,5,192,24,79.3103448275862,89.171974522293,
8476292,singleSeason,20192020,,,,1117.1,24,17,22,128,69,145,4,8,91.53,967.92,22,33.33,2,0,1,1,57.65,61,25,41,1503,,,,,,,,,,,,,,,,,,,,
8476462,singleSeason,20192020,,,,1094.35,26,14,32,170,47,52,2,12,148.65,836.33,32,0.0,3,2,0,1,109.37,63,30,40,1310,,,,,,,,,,,,,,,,,,,,
8476525,singleSeason,20192020,,,,873.83,10,1,22,79,51,87,0,3,69.52,788.87,22,0.0,1,1,0,0,15.45,40,-9,11,1066,,,,,,,,,,,,,,,,,,,,
8476919,singleSeason,20192020,,,,1220.48,26,11,20,102,71,44,1,2,66.9,988.62,20,51.17,2,1,4,5,164.97,37,-6,37,1743,,,,,,,,,,,,,,,,,,,,
8477508,singleSeason,20192020,,,,449.65,5,5,9,33,38,70,0,0,0.82,381.33,9,51.24,0,0,0,1,67.5,24,-3,10,681,,,,,,,,,,,,,,,,,,,,
8477931,singleSeason,20192020,,,,777.58,7,8,20,93,67,91,0,0,4.23,687.13,20,50.11,1,0,1,1,86.22,38,-2,15,1074,,,,,,,,,,,,,,,,,,,,
8478399,singleSeason,20192020,,,,1006.65,7,2,43,49,64,51,0,0,0.62,802.27,43,0.0,1,0,0,0,203.77,105,11,9,1248,,,,,,,,,,,,,,,,,,,,
8478414,singleSeason,20192020,,,,1209.8,27,22,42,199,70,155,2,9,147.55,1013.63,42,32.43,2,0,0,0,48.62,38,-22,49,1531,,,,,,,,,,,,,,,,,,,,
8478507,singleSeason,20192020,,,,1133.58,20,6,20,61,56,72,1,4,42.08,977.93,20,0.0,0,0,0,0,113.57,77,17,26,1495,,,,,,,,,,,,,,,,,,,,
