playerId,fullName,firstName,lastName,currentAge,birthDate,rookie,primaryPosition,primaryPositionType,currentTeamId
8475968,Alex Belzile,Alex,Belzile,33,1991-08-31,,R,Forward,NYR
8482132,Brett Berard,Brett,Berard,22,2002-09-09,,L,Forward,NYR
8477320,Anton Blidh,Anton,Blidh,29,1995-03-14,,L,Forward,NYR
8477380,Jonny Brodzinski,Jonny,Brodzinski,31,1993-06-19,,C,Forward,NYR
8475842,Sam Carrick,Sam,Carrick,32,1992-02-04,,C,Forward,NYR
8482877,Jaroslav Chmelar,Jaroslav,Chmelar,21,2003-07-20,,R,Forward,NYR
8480078,Filip Chytil,Filip,Chytil,25,1999-09-05,,C,Forward,NYR
8482157,Will Cuylle,Will,Cuylle,22,2002-02-05,,L,Forward,NYR
8481726,Adam Edstrom,Adam,Edstrom,23,2000-10-12,,C,Forward,NYR
8480870,Bo Groulx,Bo,Groulx,24,2000-02-06,,C,Forward,NYR
8481554,Kaapo Kakko,Kaapo,Kakko,23,2001-02-13,,R,Forward,NYR
8482656,Ryder Korczak,Ryder,Korczak,22,2002-09-23,,C,Forward,NYR
8475184,Chris Kreider,Chris,Kreider,33,1991-04-30,,L,Forward,NYR
8482109,Alexis Lafrenière,Alexis,Lafrenière,22,2001-10-11,,L,Forward,NYR
8479991,Jake Leschyshyn,Jake,Leschyshyn,25,1999-03-10,,C,Forward,NYR
8483486,Bryce McConnell-Barker,Bryce,McConnell-Barker,20,2004-06-04,,C,Forward,NYR
8482747,Brennan Othmann,Brennan,Othmann,21,2003-01-05,,L,Forward,NYR
8478550,Artemi Panarin,Artemi,Panarin,32,1991-10-30,,L,Forward,NYR
8482460,Matt Rempe,Matt,Rempe,22,2002-06-29,,C,Forward,NYR
8484461,Dylan Roobroeck,Dylan,Roobroeck,20,2004-07-27,,C,Forward,NYR
8475191,Reilly Smith,Reilly,Smith,33,1991-04-01,,R,Forward,NYR
8483669,Adam Sykora,Adam,Sykora,20,2004-09-07,,L,Forward,NYR
8476389,Vincent Trocheck,Vincent,Trocheck,31,1993-07-11,,C,Forward,NYR
8476918,Jimmy Vesey,Jimmy,Vesey,31,1993-05-26,,L,Forward,NYR
8476459,Mika Zibanejad,Mika,Zibanejad,31,1993-04-18,,C,Forward,NYR
8479578,Casey Fitzgerald,Casey,Fitzgerald,27,1997-02-25,,D,Defenseman,NYR
8479323,Adam Fox,Adam,Fox,26,1998-02-17,,D,Defenseman,NYR
8477433,Ben Harpur,Ben,Harpur,29,1995-01-12,,D,Defenseman,NYR
8481708,Zac Jones,Zac,Jones,23,2000-10-18,,D,Defenseman,NYR
8479324,Ryan Lindgren,Ryan,Lindgren,26,1998-02-11,,D,Defenseman,NYR
