RK,NAME,KEEP?,POS,POS_RK,TEAM,AGE,SALARY,FP
1,Connor McDavid,N,C,2,EDM,27,CAD 12.5,646.5
2,Nathan MacKinnon,N,C,3,COL,29,CAD 12.6,618.4
3,Nikita Kucherov,N,RW,1,TBL,31,CAD 9.5,556.4
4,Auston Matthews,N,C,1,TOR,26,CAD 13.3,656.7
5,David Pastrnak,N,RW,2,BOS,28,CAD 11.3,553.1
6,Cale Makar,N,D,1,COL,25,CAD 9.0,535.9
7,Mikko Rantanen,N,RW,3,COL,27,CAD 9.3,511.6
8,Leon Draisaitl,N,C/LW,1,EDM,28,CAD 8.5,539.3
9,Matthew Tkachuk,N,LW/RW,6,FLA,26,CAD 9.5,487.8
10,Jack Hughes,N,C/LW,2,NJD,23,CAD 8.0,503.8
11,Roman Josi,N,D,2,NSH,34,CAD 9.1,510.2
12,William Nylander,N,RW,4,TOR,28,CAD 11.5,501.2
13,Mitch Marner,N,RW,5,TOR,27,CAD 10.9,492.1
14,Artemi Panarin,N,LW,6,NYR,32,CAD 11.6,477.9
15,Evan Bouchard,N,D,4,EDM,24,CAD 3.9,477.0
16,Rasmus Dahlin,N,D,3,BUF,24,CAD 11.0,481.5
17,Kirill Kaprizov,N,LW,5,MIN,27,CAD 9.0,484.1
18,Quinn Hughes,N,D,12,VAN,24,CAD 7.9,416.4
19,Elias Pettersson,N,C/LW,3,VAN,25,CAD 11.6,493.6
20,Noah Dobson,N,D,5,NYI,24,CAD 4.0,469.5
21,Igor Shesterkin,N,G,1,NYR,28,CAD 5.7,301.1
22,Connor Hellebuyck,N,G,3,WPG,31,CAD 8.5,293.2
23,Juuse Saros,N,G,2,NSH,29,CAD 5.0,295.5
24,Jason Robertson,N,LW,8,DAL,25,CAD 7.8,452.9
25,Adam Fox,N,D,8,NYR,26,CAD 9.5,437.6
26,Sidney Crosby,N,C,7,PIT,37,CAD 8.7,470.0
27,Victor Hedman,N,D,9,TBL,33,CAD 8.0,428.1
28,Tage Thompson,N,C/RW,10,BUF,26,CAD 7.1,425.5
29,Filip Forsberg,N,LW,7,NSH,30,CAD 8.5,462.5
30,Jake Guentzel,N,LW,10,TBL,29,CAD 9.0,437.3
31,J.T. Miller,N,C/RW,7,VAN,31,CAD 8.0,465.6
32,Sam Reinhart,N,C/RW,8,FLA,28,CAD 8.6,454.4
33,Miro Heiskanen,N,D,13,DAL,25,CAD 8.5,411.6
34,Mathew Barzal,N,C/RW,13,NYI,27,CAD 9.2,401.7
35,Brady Tkachuk,N,C/LW,11,OTT,24,CAD 8.2,436.7
36,Timo Meier,N,LW/RW,9,NJD,27,CAD 8.8,438.3
37,Morgan Rielly,N,D,11,TOR,30,CAD 7.5,419.6
38,Jesper Bratt,N,LW/RW,12,NJD,26,CAD 7.9,409.4
39,Jack Eichel,N,C,11,VGK,27,CAD 10.0,442.5
40,Brayden Point,N,C,12,TBL,28,CAD 9.5,439.5
41,Erik Karlsson,N,D,16,PIT,34,CAD 10.0,384.1
42,Zach Hyman,N,LW/RW,11,EDM,32,CAD 5.5,416.1
43,Moritz Seider,N,D,6,DET,23,RFA,461.6
44,Jake Oettinger,N,G,4,DAL,25,CAD 4.0,281.1
45,Jordan Kyrou,N,C/RW,15,STL,26,CAD 8.1,396.7
46,Josh Morrissey,N,D,15,WPG,29,CAD 6.3,388.2
47,MacKenzie Weegar,N,D,7,CGY,30,CAD 6.3,439.6
48,Aleksander Barkov,N,C,10,FLA,29,CAD 10.0,445.9
49,Clayton Keller,N,LW/RW,18,UTA,26,CAD 7.2,385.7
50,Andrei Vasilevskiy,N,G,5,TBL,30,CAD 9.5,273.7
51,Connor Bedard,N,C,26,CHI,19,CAD 1.0,395.7
52,John Carlson,N,D,10,WSH,34,CAD 8.0,425.6
53,Wyatt Johnston,N,C/RW,14,DAL,21,CAD 0.9,397.6
54,Kyle Connor,N,LW,16,WPG,27,CAD 7.1,404.8
55,Alex Ovechkin,N,LW,12,WSH,38,CAD 9.5,432.2
56,Charlie McAvoy,N,D,14,BOS,26,CAD 9.5,402.3
57,Sebastian Aho,N,C,21,CAR,27,CAD 9.8,407.8
58,Steven Stamkos,N,C/LW,13,NSH,34,CAD 8.0,416.9
59,Cole Caufield,N,LW/RW,17,MTL,23,CAD 7.9,386.9
60,Tim Stützle,N,C/LW,18,OTT,22,CAD 8.4,389.5
61,Dylan Larkin,N,C,20,DET,28,CAD 8.7,414.1
62,Mika Zibanejad,N,C,17,NYR,31,CAD 8.5,421.1
63,Stuart Skinner,N,G,6,EDM,25,CAD 2.6,270.5
64,Adrian Kempe,N,C/RW,16,LAK,27,CAD 5.5,390.0
65,Kevin Fiala,N,LW,23,LAK,28,CAD 7.9,372.9
66,Jeremy Swayman,N,G,9,BOS,25,RFA,256.9
67,Zach Werenski,N,D,21,CBJ,27,CAD 9.6,369.9
68,Jacob Markstrom,N,G,8,NJD,34,CAD 4.1,259.1
69,Alex Tuch,N,RW,19,BUF,28,CAD 4.8,383.6
70,Thatcher Demko,N,G,7,VAN,28,CAD 5.0,262.7
71,Matt Boldy,N,LW/RW,23,MIN,23,CAD 7.0,368.8
72,Nico Hischier,N,C,19,NJD,25,CAD 7.3,414.7
73,Ilya Sorokin,N,G,11,NYI,28,CAD 8.3,253.8
74,Mikhail Sergachev,N,D,18,UTA,26,CAD 8.5,380.8
75,Alex DeBrincat,N,LW/RW,22,DET,26,CAD 7.9,374.3
76,Brandon Hagel,N,LW/RW,27,TBL,26,CAD 6.5,359.4
77,Robert Thomas,N,C,34,STL,25,CAD 8.1,380.0
78,John Tavares,N,C,14,TOR,33,CAD 11.0,433.2
79,Travis Konecny,N,LW/RW,26,PHI,27,CAD 5.5,363.8
80,Vincent Trocheck,N,C,15,NYR,31,CAD 5.6,426.4
81,Nick Suzuki,N,C,27,MTL,25,CAD 7.9,393.0
82,Ryan Nugent-Hopkins,N,C/LW,25,EDM,31,CAD 5.1,368.5
83,Mike Matheson,N,D,19,MTL,30,CAD 4.9,377.5
84,Shea Theodore,N,D,25,VGK,29,CAD 5.2,353.1
85,Carter Verhaeghe,N,C/LW,26,FLA,29,CAD 4.2,366.6
86,Seth Jones,N,D,17,CHI,29,CAD 9.5,383.3
87,Seth Jarvis,N,C/RW,20,CAR,22,RFA,381.5
88,Sergei Bobrovsky,N,G,10,FLA,35,CAD 10.0,256.3
89,Dougie Hamilton,N,D,31,NJD,31,CAD 9.0,341.3
90,Nazem Kadri,N,C,40,CGY,33,CAD 7.0,360.5
91,Lucas Raymond,N,LW/RW,30,DET,22,RFA,349.2
92,Andrei Svechnikov,N,LW/RW,29,CAR,24,CAD 7.8,352.2
93,Bo Horvat,N,C,22,NYI,29,CAD 8.5,405.9
94,Brock Faber,N,D,23,MIN,22,CAD 0.9,364.0
95,Brock Nelson,N,C,35,NYI,32,CAD 6.0,374.6
96,Jonathan Marchessault,N,RW,28,NSH,33,CAD 5.5,358.5
97,Bryan Rust,N,RW,24,PIT,32,CAD 5.1,367.1
98,Roope Hintz,N,C,29,DAL,27,CAD 8.5,389.6
99,Chris Kreider,N,LW,17,NYR,33,CAD 6.5,390.1
100,Pavel Buchnevich,N,C/LW,36,STL,29,CAD 5.8,347.2
101,Jared McCann,N,C/LW,27,SEA,28,CAD 5.0,365.7
102,Alexandar Georgiev,N,G,12,COL,28,CAD 3.4,245.5
103,Rasmus Andersson,N,D,22,CGY,27,CAD 4.6,366.2
104,Noah Hanifin,N,D,28,VGK,27,CAD 7.4,347.8
105,Owen Tippett,N,LW/RW,21,PHI,25,CAD 6.2,375.5
106,Justin Faulk,N,D,26,STL,32,CAD 6.5,350.8
107,Joel Eriksson Ek,N,C,32,MIN,27,CAD 5.3,387.7
108,Jake DeBrusk,N,LW/RW,25,VAN,27,CAD 5.5,365.3
109,Alex Pietrangelo,N,D,20,VGK,34,CAD 8.8,371.0
110,Martin Necas,N,C/RW,33,CAR,25,CAD 6.5,331.0
111,Jordan Binnington,N,G,13,STL,31,CAD 6.0,230.1
112,Brad Marchand,N,LW,37,BOS,36,CAD 6.1,336.8
113,Dylan Cozens,N,C,47,BUF,23,CAD 7.1,346.1
114,Brady Skjei,N,D,34,NSH,30,CAD 7.0,323.5
115,Brock Boeser,N,RW,31,VAN,27,CAD 6.5,341.6
116,Drew Doughty,N,D,30,LAK,34,CAD 11.0,344.8
117,Troy Terry,N,C/RW,37,ANA,26,CAD 7.0,317.2
118,Kris Letang,N,D,29,PIT,37,CAD 6.1,344.9
119,JJ Peterka,N,RW,36,BUF,22,CAD 0.9,319.6
120,Linus Ullmark,N,G,14,OTT,30,CAD 5.0,225.4
121,Jake Sanderson,N,D,24,OTT,22,CAD 8.1,353.9
122,Mark Scheifele,N,C,44,WPG,31,CAD 8.5,348.2
123,Elias Lindholm,N,C,31,BOS,29,CAD 7.8,387.8
124,Vince Dunn,N,D,45,SEA,27,CAD 7.4,299.7
125,Yegor Sharangovich,N,C/RW,32,CGY,26,CAD 3.1,335.4
126,Dylan Strome,N,C,42,WSH,27,CAD 5.0,354.3
127,Brent Burns,N,D,36,CAR,39,CAD 5.3,322.3
128,Brandon Montour,N,D,38,SEA,30,CAD 7.1,319.3
129,Nikolaj Ehlers,N,LW,39,WPG,28,CAD 6.0,331.0
130,Patrick Kane,N,RW,38,DET,35,CAD 4.0,311.6
131,Gustav Forsling,N,D,37,FLA,28,CAD 5.8,319.5
132,Evgeni Malkin,N,C,52,PIT,38,CAD 6.1,321.7
133,Dylan Guenther,N,LW,35,UTA,21,CAD 0.9,347.2
134,Juraj Slafkovsky,N,LW,34,MTL,20,CAD 1.0,348.1
135,Tyler Toffoli,N,LW/RW,35,SJS,32,CAD 6.0,321.4
136,Logan Cooley,N,C,51,UTA,20,CAD 1.0,324.2
137,Nick Schmaltz,N,C/RW,44,UTA,28,CAD 5.9,301.8
138,Alexis Lafrenière,N,LW/RW,42,NYR,22,CAD 2.3,302.9
139,Claude Giroux,N,RW,34,OTT,36,CAD 6.5,326.5
140,Jonathan Huberdeau,N,C/LW,43,CGY,31,CAD 10.5,309.4
141,Devon Toews,N,D,42,COL,30,CAD 7.3,306.0
142,Anze Kopitar,N,C,36,LAK,37,CAD 7.0,369.2
143,Thomas Harley,N,D,39,DAL,23,RFA,316.7
144,Drake Batherson,N,LW/RW,40,OTT,26,CAD 5.0,308.8
145,Pierre-Luc Dubois,N,C/LW,45,WSH,26,CAD 8.5,306.9
146,Teuvo Teravainen,N,LW/RW,41,CHI,29,CAD 5.4,306.4
147,Jake Walman,N,D,32,SJS,28,CAD 3.4,330.0
148,Tristan Jarry,N,G,17,PIT,29,CAD 5.4,213.7
149,Tomas Hertl,N,C,41,VGK,30,CAD 6.8,359.3
150,Adin Hill,N,G,15,VGK,28,CAD 4.9,214.9
151,Ryan O'Reilly,N,C,45,NSH,33,CAD 4.5,347.9
152,Connor Ingram,N,G,19,UTA,27,CAD 2.0,213.4
153,Colton Parayko,N,D,27,STL,31,CAD 6.5,349.0
154,Aaron Ekblad,N,D,50,FLA,28,CAD 7.5,294.5
155,Travis Sanheim,N,D,40,PHI,28,CAD 6.3,312.0
156,Thomas Chabot,N,D,44,OTT,27,CAD 8.0,300.1
157,Jakob Chychrun,N,D,43,WSH,26,CAD 4.6,301.9
158,Darnell Nurse,N,D,35,EDM,29,CAD 9.3,322.9
159,Joseph Woll,N,G,16,TOR,26,CAD 0.8,213.8
160,Jamie Benn,N,LW,38,DAL,35,CAD 9.5,331.9
161,Mason McTavish,N,C,58,ANA,21,CAD 0.9,295.2
162,Mark Stone,N,RW,45,VGK,32,CAD 9.5,294.5
163,Mats Zuccarello,N,RW,47,MIN,37,CAD 4.1,290.0
164,Darcy Kuemper,N,G,18,LAK,34,CAD 5.3,213.4
165,Luke Hughes,N,D,68,NJD,20,CAD 0.9,268.2
166,Filip Gustavsson,N,G,20,MIN,26,CAD 3.8,209.0
167,Frank Vatrano,N,C/LW,40,ANA,30,CAD 3.7,329.3
168,Matt Duchene,N,C/RW,46,DAL,33,CAD 3.0,290.7
169,Patrik Laine,N,LW,49,MTL,26,CAD 8.7,298.1
170,Trevor Moore,N,LW/RW,43,LAK,29,CAD 4.2,302.1
171,Filip Hronek,N,D,64,VAN,26,CAD 7.3,272.8
172,Sean Durzi,N,D,49,UTA,25,CAD 6.0,294.8
173,Boone Jenner,N,C/LW,33,CBJ,31,CAD 3.8,348.6
174,Michael Bunting,N,LW,55,PIT,28,CAD 4.5,275.7
175,Jacob Trouba,N,D,33,NYR,30,CAD 8.0,327.7
176,Sam Montembeault,N,G,21,MTL,27,CAD 3.2,201.8
177,Macklin Celebrini,N,C,60,SJS,18,CAD 1.0,292.9
178,Quinton Byfield,N,C,67,LAK,22,CAD 6.3,284.4
179,Hampus Lindholm,N,D,71,BOS,30,CAD 6.5,263.7
180,Tyler Bertuzzi,N,LW,50,CHI,29,CAD 5.5,293.4
181,Andrei Kuzmenko,N,LW/RW,51,CGY,28,CAD 5.5,275.9
182,Jaccob Slavin,N,D,57,CAR,30,CAD 5.3,280.5
183,Jake Neighbours,N,LW/RW,39,STL,22,CAD 0.8,311.0
184,Mattias Ekholm,N,D,60,EDM,34,CAD 6.0,277.0
185,Owen Power,N,D,67,BUF,21,CAD 8.4,269.4
186,Matty Beniers,N,C,59,SEA,21,CAD 7.1,294.1
187,Neal Pionk,N,D,52,WPG,29,CAD 5.9,290.7
188,Tyler Seguin,N,C/RW,49,DAL,32,CAD 9.9,278.9
189,Shayne Gostisbehere,N,D,72,CAR,31,CAD 3.2,261.4
190,Trevor Zegras,N,C,78,ANA,23,CAD 5.8,267.0
191,Charlie Lindgren,,G,22,WSH,30,CAD 1.1,191.8
192,William Karlsson,N,C,54,VGK,31,CAD 5.9,313.7
193,Adam Fantilli,N,C,63,CBJ,19,CAD 1.0,288.1
194,Kaiden Guhle,N,D,51,MTL,22,CAD 0.9,293.4
195,Ivan Provorov,N,D,48,CBJ,27,CAD 4.7,295.0
196,Conor Garland,N,RW,59,VAN,28,CAD 5.0,262.2
197,Matt Roy,N,D,41,WSH,29,CAD 5.8,311.7
198,Joey Daccord,N,G,23,SEA,27,CAD 1.2,191.6
199,Brayden Schenn,N,C/LW,51,STL,33,CAD 6.5,287.6
200,K'Andre Miller,N,D,59,NYR,24,CAD 3.9,278.5
201,Jeff Skinner,N,LW,58,EDM,32,CAD 3.0,259.1
202,Kyle Palmieri,N,RW,52,NYI,33,CAD 5.0,274.7
203,Gabriel Vilardi,N,C/RW,53,WPG,25,CAD 3.4,274.0
204,Matvei Michkov,N,RW,54,PHI,19,CAD 1.0,270.1
205,Tom Wilson,N,RW,48,WSH,30,CAD 6.5,288.1
206,Artturi Lehkonen,N,LW,52,COL,29,CAD 4.5,283.5
207,William Eklund,N,C,65,SJS,21,CAD 0.9,287.6
208,Pavel Mintyukov,N,D,74,ANA,20,CAD 0.9,258.1
209,Pavel Zacha,N,C,62,BOS,27,CAD 4.8,290.0
210,Blake Coleman,N,C/RW,55,CGY,32,CAD 4.9,268.6
211,Oliver Bjorkstrand,N,RW,56,SEA,29,CAD 5.4,268.4
212,Jordan Eberle,N,RW,63,SEA,34,CAD 4.8,249.2
213,Cam York,N,D,58,PHI,23,CAD 1.6,280.2
214,Esa Lindell,N,D,47,DAL,30,CAD 5.8,296.8
215,Jonas Brodin,N,D,61,MIN,31,CAD 6.0,275.5
216,Vladimir Tarasenko,N,LW/RW,58,DET,32,CAD 4.8,264.9
217,Jared Spurgeon,N,D,62,MIN,34,CAD 7.6,275.4
